Indexed from docIDs:1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
tindak 4 8000
kejahatan 7 8016
terungkap 1 8044
tolong 1 8048
pemilik 3 8052
karaok 1 8064
satai 1 8068
waktu 1 8072
pemiliknya 2 8076
beli 1 8084
sekoci 1 8088
dibawa 3 8092
katanya 5 8104
terbongkar 1 8124
dipros 2 8128
hukum 6 8136
pemeriksaan 3 8160
itulah 1 8172
selul 1 8176
diduga 6 8180
memburu 2 8204
rekan 2 8212
beraksi 2 8220
pengungkapan 1 8228
berkoordinasi 1 8232
gerebek 1 8236
sarang 1 8240
penjahat 10 8244
siber 1 8284
cina 1 8288
jaya 3 8292
menggerebek 1 8304
sindikat 3 8308
cyber 1 8320
tiongkok 1 8324
toko 2 8328
blok 1 8336
nomor 2 8340
mangga 1 8348
squar 1 8352
china 1 8356
keluar 2 8360
ruko 1 8368
iii 1 8372
subdirektorat 2 8376
kekerasan 3 8384
direktorat 1 8396
resers 3 8400
dhani 1 8412
aryanda 1 8416
27/11 1 8420
mengawasi 1 8424
selama 3 8428
guna 2 8440
mengamati 2 8448
kegiatan 1 8456
siang 4 8460
alat 2 8476
komunikasi 1 8484
dilengkapi 2 8488
pemancar 1 8496
signal 1 8500
pesawat 1 8504
menipu 1 8508
modu 2 8512
penegak 2 8520
beroperasi 1 8528
tujuh 1 8532
berjeni 1 8536
kelamin 1 8540
wanita 1 8544
menyita 3 8548
puluhan 1 8560
handi 1 8564
talki 1 8568
modem 1 8572
komput 1 8576
jinj 1 8580
laptop 1 8584
penampungan 1 8588
imigrasi 1 8592
bersenjata 1 8596
api 3 8600
rampa 1 8612
fortun 1 8616
bernopol 1 8620
b-1635-qh 1 8624
dirampa 1 8628
kemang 1 8632
raya 3 8636
selatan 2 8648
25/8 1 8656
rikwanto 1 8660
perampasan 1 8664
lancer 1 8668
terdapat 1 8672
uang 3 8676
sebesar 1 8688
rp.15 1 8692
juta 2 8696
ujarnya 2 8704
minggu 2 8712
26/8 1 8720
menambahkan 1 8724
nama 2 8728
mahendra 1 8736
kebayoran 1 8740
ditodong 1 8744
diken 2 8748
fn 1 8756
menyalakan 1 8760
mobilnya 1 8764
kendaraan 4 8768
mengendarai 1 8784
taksi 1 8788
toyota 2 8792
diketahui 1 8800
pt 1 8804
kencana 1 8808
nusantara 1 8812
bahari 2 8816
ta 4 8824
merek 1 8840
prada 1 8844
surat-surat 1 8848
berharga 1 8852
sesaat 1 8856
melapor 1 8860
bogor 2 8864
ditembak 1 8872
reskrim 1 8876
sektor 1 8880
klapanungg 1 8884
briptu 1 8888
nurul 1 8892
affandi 1 8896
menjalankan 2 8900
tuga 2 8908
bermotor 2 8916
peristiwa 2 8924
kronolog 1 8932
singkat 1 8936
melinta 1 8940
adanya 2 8944
mencoba 3 8952
menolong 1 8964
kecurian 1 8968
diperkirakan 1 8972
berjumlah 1 8976
tiba-tiba 1 8980
satunya 3 8984
mengeluarkan 1 8996
penembangkan 1 9000
peluru 2 9004
ditembakkan 1 9012
mengenai 1 9016
olah 1 9020
mengumpulkan 1 9024
saksi-saksi 2 9028
satuan 1 9036
didik 1 9040
purwanto 1 9044
pesan 1 9048
singkatnya 1 9052
saksi 1 9056
menyimpulkan 1 9060
ciri-ciri 1 9064
selongsong 1 9068
menewaskan 1 9072
jual 1 9076
lukisan 1 9080
alic 1 9084
spring 1 9088
menghadapi 1 9092
tuduhan 1 9096
jika 1 9100
menjadikannya 1 9104
barisan 1 9108
pale 2 9112
bodoh 1 9120
northern 1 9124
territori 1 9128
nt 1 9132
galeri 1 9136
seni 1 9140
menjual 1 9144
karya 1 9148
menuduh 1 9152
memiliki 3 9156
catatan 1 9168
pelanggaran 1 9172
mulai 2 9176
kerusakan 1 9184
properti 1 9188
pagi 1 9192
selasa 3 9196
5/9 1 9208
memasuki 1 9212
keadaan 1 9216
tergulung 1 9220
sersan 1 9224
detektif 1 9228
peter 1 9232
malley 1 9236
ironisnya 1 9240
dugaan 1 9244
berusaha 1 9248
seseorang 1 9252
yubu 1 9256
napa 1 9260
insiden 1 9264
kawasan 2 9268
memicu 1 9276
petasan 1 9280
dimasukkan 1 9284
bokongnya 1 9288
mabuk 1 9292
menendang 1 9296
politisi 1 9300
bertaruh 1 9304
media 1 9308
ngaku 1 9312
wartawan 1 9316
kawanan 3 9320
pejahat 1 9332
rampok 2 9336
ema 1 9344
pasar 1 9348
sunter 1 9352
tanjung 2 9356
priok 1 9364
yopi 1 9368
aksinya 1 9372
warta5 1 9376
berita 1 9380
wakil 1 9384
direktur 1 9388
nico 1 9392
afinta 1 9396
berperan 3 9400
pengamat 1 9412
menggambar 1 9416
sasarannya 1 9420
tugasnya 1 9424
berkelil 1 9428
gambar 1 9432
merencanakan 1 9436
bersama 1 9440
adi 1 9444
iwan 1 9448
dede 1 9452
ibrahim 1 9456
tangerang 1 9460
bekasi 1 9464
banten 1 9468
menyebutkan 2 9472
sindikatnya 1 9480
merampok 1 9484
delapan 1 9488
april 1 9492
novemb 1 9496
kerugian 1 9500
mencapai 2 9504
rp 2 9512
miliar 1 9520
tanah 2 9524
bangunan 1 9532
perampok 1 9536
leuwiliang 1 9540
28/11 1 9544
selain 2 9548
digunakan 1 9556
menduga 1 9560
acara 1 9564
dangdutan 1 9568
dinihari 1 9572
sebelumnya 3 9576
menggondol 1 9588
kilogram 1 9592
mulia 1 9596
17/11 1 9600
lumpuhkan 1 9604
kambuhan 1 9608
musirawa 1 9612
sumatera 2 9616
menembak 2 9624
kakinya 1 9632
toni 1 9636
pangkalan 1 9640
tindakan 2 9644
rawa 1 9652
ulu 2 9656
meresahkan 1 9664
resor 1 9668
chaidir 1 9672
dilumpuhkan 1 9676
dikediamannya 1 9680
26/4 1 9684
gabungan 1 9688
buru 1 9692
sergap 1 9696
buser 1 9700
mendobrak 1 9704
pintu 2 9708
lewat 1 9716
belakang 2 9720
rakitan 1 9728
lara 1 9732
panjang 1 9736
ditindak 2 9740
tega 2 9748
samp 1 9756
roboh 1 9760
sepucuk 1 9764
bila 2 9768
pisau 2 9776
bong 1 9784
camat 1 9788
burlian 1 9792
berharap 1 9796
ditangkapnya 1 9800
memberikan 3 9804
aman 1 9816
bagi 1 9820
bakal 1 9824
deklarasikan 1 9828
perang 1 9832
terbuka 1 9836
pekanbaru 2 9840
kriminolog 1 9848
universita 1 9852
riau 2 9856
syahrul 1 9864
akmal 1 9868
latif 1 9872
mengimbau 3 9876
mewaspadai 1 9888
deklarasi 1 9892
diisyaratkan 1 9896
kini 4 9900
berani 2 9916
melukai 1 9924
bahkan 1 9928
membunuh 1 9932
pemberontakan 1 9936
orang-orang 1 9940
latar 1 9944
sosial 1 9948
manusiawi 1 9952
menutup 1 9956
kemungkinan 1 9960
terorganisasi 1 9964
membentuk 1 9968
kelompok-kelompok 1 9972
terintegrasi 1 9976
lanjutnya 1 9980
